model,run,synthesis,historical,rcp26,rcp45,rcp60,rcp85
HadGEM2-CC,r3i1p1,0,ESD,,,,ESD
HadGEM2-ES,r1i1p1,0,AORCM,AORCM,AORCM,ESD,AORCM
HadGEM2-ES,r2i1p1,0,AORCM,Basic,AORCM,Basic,AORCM
HadGEM2-ES,r3i1p1,0,Basic,Basic,Basic,Basic,Basic
HadGEM2-ES,r4i1p1,0,Basic,Basic,Basic,Basic,Basic
IPSL-CM5A-LR,r1i1p1,0,AORCM,AORCM,AORCM,AORCM,AORCM
IPSL-CM5A-LR,r2i1p1,0,AORCM,AORCM,AORCM,,AORCM
IPSL-CM5A-LR,r3i1p1,0,AORCM,AORCM,AORCM,,AORCM
IPSL-CM5A-LR,r4i1p1,0,AORCM,AORCM,AORCM,,AORCM
IPSL-CM5A-LR,r5i1p1,0,AORCM,,,,
IPSL-CM5A-LR,r6i1p1,0,AORCM,,,,
IPSL-CM5A-MR,r1i1p1,0,AORCM,AORCM,AORCM,3Dml,AORCM
IPSL-CM5A-MR,r2i1p1,0,AORCM,,,,
IPSL-CM5A-MR,r3i1p1,0,AORCM,,,,
IPSL-CM5B-LR,r1i1p1,0,AORCM,,AORCM,,AORCM
MIROC4h,r1i1p1,0,Basic,,Basic,,
MIROC4h,r2i1p1,0,Basic,,Basic,,
MIROC4h,r3i1p1,0,Basic,,Basic,,
MIROC5,r1i1p1,0,AORCM,AORCM,AORCM,AORCM,AORCM
MIROC5,r2i1p1,0,ESD,ESD,ESD,ESD,ESD
MIROC5,r3i1p1,0,ESD,ESD,Basic,ESD,ESD
MIROC5,r4i1p1,0,ESD,,,,
MIROC5,r5i1p1,0,ESD,,,,
MIROC-ESM-CHEM,r1i1p1,0,AORCM,ESD,AORCM,ESD,AORCM
MIROC-ESM,r1i1p1,0,AORCM,Basic,AORCM,Basic,AORCM
MIROC-ESM,r2i1p1,0,ESD,,,,
MIROC-ESM,r3i1p1,0,ESD,,,,
MPI-ESM-LR,r1i1p1,0,ESD,ESD,ESD,,ESD
MPI-ESM-LR,r2i1p1,0,ESD,ESD,ESD,,ESD
MPI-ESM-LR,r3i1p1,0,ESD,ESD,ESD,,ESD
MPI-ESM-MR,r1i1p1,0,ESD,ESD,ESD,,ESD
MPI-ESM-MR,r2i1p1,0,ESD,,ESD,,
MPI-ESM-MR,r3i1p1,0,ESD,,ESD,,
